Filesystem	Size	Used
10.61.12.9,10.61.12.10,10.61.12.11,10.61.22.9,10.61.22.11:/volumes/projects/tcell_lymphoma/7f39adf9-6f6c-49c1-aea3-fd35e027a5e9	239G	1.1G
10.61.12.9,10.61.12.10,10.61.12.11,10.61.22.9,10.61.22.11:/volumes/home/ekazakova/24dd1c51-8b75-4034-9feb-d69b29f6ee3c	239G	30G
tmpfs	76G	0
tmpfs	76G	4.0K
tmpfs	76G	0
10.61.12.9,10.61.12.10,10.61.12.11,10.61.22.9,10.61.22.11:/volumes/home/aschastlivtseva/e14780ca-b78b-482f-b50e-a6ff23154320	239G	53G
tmpfs	76G	0
10.61.12.9,10.61.12.10,10.61.12.11,10.61.22.9,10.61.22.11:/volumes/home/akhaustova/0c748ad1-9c80-4931-a527-d3a2ccde5a6f	239G	82G
tmpfs	76G	0
10.61.12.9,10.61.12.10,10.61.12.11,10.61.22.9,10.61.22.11:/volumes/home/akorneev/bdf4f806-8617-46f6-99c6-351560d71364	239G	45G
tmpfs	76G	0
tmpfs	76G	0
tmpfs	76G	0
10.61.12.9,10.61.12.10,10.61.12.11,10.61.22.9,10.61.22.11:/volumes/home/vpiskaeva/185824cf-30a7-4bbf-ac45-8ac36f640142	239G	176G
tmpfs	76G	0
10.61.12.9,10.61.12.10,10.61.12.11,10.61.22.9,10.61.22.11:/volumes/home/mmokhina/f609d458-6475-40f0-94f6-21e373108b0e	239G	34G
10.61.12.9,10.61.12.10,10.61.12.11,10.61.22.9,10.61.22.11:/volumes/home/dsokol/e2f3ed2b-5aca-4237-97ad-f5d76467bed2	239G	142G
10.61.12.9,10.61.12.10,10.61.12.11,10.61.22.9,10.61.22.11:/volumes/projects/alpaca_immunization/2112a549-a3e0-4d9b-8f4a-525e797d8ea0	239G	134G
10.61.12.9,10.61.12.10,10.61.12.11,10.61.22.9,10.61.22.11:/volumes/home/myanushkevich/39fbd6ca-f5ed-4d64-822a-12ada9205116	239G	33G
tmpfs	76G	0
tmpfs	76G	0
10.61.12.9,10.61.12.10,10.61.12.11,10.61.22.9,10.61.22.11:/volumes/home/ekhajinova/e69a603d-68bd-4dd3-ab5d-319e12f1d940	239G	20G
tmpfs	76G	0
10.61.12.9,10.61.12.10,10.61.12.11,10.61.22.9,10.61.22.11:/volumes/projects/sle_jul_23_gabibov/8681c4d1-ea61-4ba7-8c04-18fc2f68d5da	4.1T	3.8T
tmpfs	76G	0
10.61.12.9,10.61.12.10,10.61.12.11,10.61.22.9,10.61.22.11:/volumes/home/kdavygora/bc5c0313-b381-4f2e-a802-49986f030f4f	239G	181G
10.61.12.9,10.61.12.10,10.61.12.11,10.61.22.9,10.61.22.11:/volumes/home/amasalov/1e68cea1-0810-4c2b-add0-20aa64b27dca	239G	140G
/dev/loop2	186M	186M
10.61.12.9,10.61.12.10,10.61.12.11,10.61.22.9,10.61.22.11:/volumes/home/mtresheva/9afcd35d-87a5-4b73-a7c5-dfac155a7487	239G	55G
tmpfs	76G	0
10.61.12.9,10.61.12.10,10.61.12.11,10.61.22.9,10.61.22.11:/volumes/home/aivanova/ccc04fca-78f8-44f6-9fd4-d0efd252799c	239G	142G
10.61.12.9,10.61.12.10,10.61.12.11,10.61.22.9,10.61.22.11:/volumes/home/gkhodos/e8aff87e-adf3-445b-81a5-c3e2e7768a16	239G	218G
tmpfs	76G	0
10.61.12.9,10.61.12.10,10.61.12.11,10.61.22.9,10.61.22.11:/volumes/home/vshtol/4c7163ff-3606-4c7f-b1e5-c983a5f50554	239G	151G
10.61.12.9,10.61.12.10,10.61.12.11,10.61.22.9,10.61.22.11:/volumes/home/epankratova/3eb32d10-13ff-4ab7-bf56-ddef020843e0	705G	488G
10.61.12.9,10.61.12.10,10.61.12.11,10.61.22.9,10.61.22.11:/volumes/home/aprimova/8267b10d-d9f7-4cd7-90aa-a120bcf945e9	239G	1.5G
10.61.12.9,10.61.12.10,10.61.12.11,10.61.22.9,10.61.22.11:/volumes/home/avakaruk/d07c7b8a-1bbc-4f5b-9cf9-5eee02c5e269	239G	216G
10.61.12.9,10.61.12.10,10.61.12.11,10.61.22.9,10.61.22.11:/volumes/home/dkharina/7f15a110-91c5-471a-94f4-f752e6a9bd6c	239G	30G
10.61.12.9,10.61.12.10,10.61.12.11,10.61.22.9,10.61.22.11:/volumes/home/dlukyanov/b3ddbffc-37c2-49ba-957b-c7f4768ceba5	933G	797G
